housing_type,address,postal_code,area_sqm,area_sqft,transaction_price,sale_date,latitude,longitude,town,flat_type,flat_model,storey_range,lease_commence_date,lease_remaining
hdb,176C EDGEFIELD PLAINS,823176,111,1195,475000,01/03/21,1.39831055285526,103.90878367744,PUNGGOL,5 ROOM,Improved,13 TO 15,2003,81 years 05 months
hdb,679B PUNGGOL DR,822679,113,1216,675888,01/03/21,1.40631693046249,103.908463046017,PUNGGOL,5 ROOM,Premium,07 TO 09,2016,94 years 07 months
hdb,664B PUNGGOL DR,822664,110,1184,608000,01/03/21,1.40006476990518,103.917851536969,PUNGGOL,5 ROOM,Improved,10 TO 12,2016,94 years 03 months
hdb,450B SENGKANG WEST WAY,792450,67,721,333000,01/03/21,1.39404770183667,103.873345691812,SENGKANG,3 ROOM,Model A,04 TO 06,2014,92 years 04 months
hdb,334C ANCHORVALE CRES,543334,95,1023,502000,01/03/21,1.39742222673837,103.889703923973,SENGKANG,4 ROOM,Premium,10 TO 12,2015,93 years 09 months
hdb,469C SENGKANG WEST WAY,793469,93,1001,465000,01/03/21,1.3963235374704,103.877422028405,SENGKANG,4 ROOM,Model A,22 TO 24,2016,94 years 07 months
hdb,433B SENGKANG WEST WAY,792433,93,1001,450888,01/03/21,1.39388894272882,103.877494624525,SENGKANG,4 ROOM,Model A,16 TO 18,2014,92 years 07 months
hdb,311B ANCHORVALE LANE,542311,111,1195,425000,01/03/21,1.39125198410933,103.884325036238,SENGKANG,5 ROOM,Premium,13 TO 15,2002,80 years 07 months
hdb,326C ANCHORVALE RD,543326,112,1206,630000,01/03/21,1.39571712840417,103.888065431994,SENGKANG,5 ROOM,Premium,13 TO 15,2015,93 years 02 months
hdb,293D COMPASSVALE CRES,544293,113,1216,600000,01/03/21,1.39674216564885,103.895331584899,SENGKANG,5 ROOM,Improved,10 TO 12,2016,94 years 09 months
hdb,225B COMPASSVALE WALK,542225,122,1313,500000,01/03/21,1.38784552858437,103.898951852126,SENGKANG,5 ROOM,Improved,13 TO 15,1999,77 years 09 months
hdb,196 RIVERVALE DR,540196,111,1195,445000,01/03/21,1.3928367952151,103.903146292304,SENGKANG,5 ROOM,Improved,10 TO 12,2001,79 years 01 month
hdb,526 HOUGANG AVE 6,530526,84,904,355000,01/04/21,1.37440740122224,103.890563837329,HOUGANG,4 ROOM,Simplified,07 TO 09,1988,66 years
hdb,650 HOUGANG AVE 8,530650,84,904,360000,01/04/21,1.37212724286356,103.881301012952,HOUGANG,4 ROOM,Simplified,07 TO 09,1987,65 years 08 months
hdb,698A HOUGANG ST 61,531698,100,1076,453888,01/04/21,1.37501378353129,103.887337730531,HOUGANG,4 ROOM,Model A,07 TO 09,1999,77 years
hdb,470A UPP SERANGOON CRES,531470,92,990,463000,01/04/21,1.37905480016803,103.901927831856,HOUGANG,4 ROOM,Model A,07 TO 09,2015,93 years 02 months
hdb,473A UPP SERANGOON CRES,531473,113,1216,630000,01/04/21,1.37682896002802,103.900640875151,HOUGANG,5 ROOM,Improved,04 TO 06,2017,95 years 03 months
hdb,308C PUNGGOL WALK,823308,67,721,400000,01/04/21,1.40800694944031,103.899074357998,PUNGGOL,3 ROOM,Premium,13 TO 15,2016,93 years 11 months
hdb,623C PUNGGOL CTRL,823623,94,1012,488000,01/04/21,1.39963286520917,103.911458504685,PUNGGOL,4 ROOM,Model A,13 TO 15,2014,92 years 01 month
hdb,676A PUNGGOL DR,821676,93,1001,535000,01/04/21,1.40482709089798,103.909870662158,PUNGGOL,4 ROOM,Premium,10 TO 12,2016,94 years 06 months
hdb,617A PUNGGOL DR,821617,93,1001,455000,01/04/21,1.40232925703383,103.911811406544,PUNGGOL,4 ROOM,Premium,07 TO 09,2013,91 years 06 months
hdb,169C PUNGGOL FIELD,823169,93,1001,488888,01/04/21,1.39362109168493,103.91422364645,PUNGGOL,4 ROOM,Model A,16 TO 18,2014,92 years
hdb,102C PUNGGOL FIELD,823102,109,1173,468000,01/04/21,1.39876127750608,103.90493897318,PUNGGOL,5 ROOM,Improved,07 TO 09,2002,80 years 07 months
hdb,265C PUNGGOL WAY,823265,112,1206,668000,01/04/21,1.4049972897509,103.898518563342,PUNGGOL,5 ROOM,Improved,13 TO 15,2015,93 years 03 months
hdb,293C COMPASSVALE CRES,543293,93,1001,510000,01/04/21,1.3971032927954,103.895714685196,SENGKANG,4 ROOM,Model A,10 TO 12,2016,94 years 08 months
hdb,205C COMPASSVALE LANE,543205,102,1098,418000,01/04/21,1.38609075927477,103.896503892255,SENGKANG,4 ROOM,Model A,13 TO 15,1999,77 years 02 months
hdb,273C COMPASSVALE LINK,543273,90,969,548888,01/04/21,1.38460679116839,103.894501889915,SENGKANG,4 ROOM,Premium,07 TO 09,2009,87 years 05 months
hdb,269C COMPASSVALE LINK,543269,90,969,415888,01/04/21,1.38351198345382,103.896373988918,SENGKANG,4 ROOM,Premium,01 TO 03,2006,83 years 10 months
