project_name,address,postal_code,postal_district,num_of_units,area_sqm,area_sqft,area_type,transaction_price_dollars,nett_price_dollars,unit_price_psm_dollars,unit_price_psf_dollars,sale_date,property_type,property_tenure,completion_top_date,sale_type,purchaser_address_indicator
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #28-05,319773,12,1,78,839.59,Strata,1233800,-,15818,1470,05/06/2015,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-13,319773,12,1,66,710.42,Strata,1015000,-,15379,1429,22/05/2015,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #11-16,319773,12,1,138,1485.43,Strata,1890000,-,13696,1272,08/05/2015,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #06-15,319773,12,1,153,1646.89,Strata,2050000,-,13399,1245,30/04/2015,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #13-11,319773,12,1,108,1162.51,Strata,1558000,-,14426,1340,03/11/2014,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-04,319773,12,1,66,710.42,Strata,1020000,-,15455,1436,30/10/2014,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #18-03,319773,12,1,106,1140.98,Strata,1550000,-,14623,1358,25/07/2014,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #16-12,319773,12,1,51,548.96,Strata,850000,-,16667,1548,10/07/2014,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-12,319773,12,1,51,548.96,Strata,828000,-,16235,1508,27/06/2014,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #08-03,319773,12,1,106,1140.98,Strata,1510000,-,14245,1323,22/04/2014,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #11-15,319773,12,1,153,1646.89,Strata,2058000,-,13451,1250,25/11/2013,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #08-14,319773,12,1,106,1140.98,Strata,1520000,-,14340,1332,07/10/2013,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #04-10,319773,12,1,153,1646.89,Strata,1823000,-,11915,1107,06/08/2013,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #08-08,319773,12,1,138,1485.43,Strata,1707750,-,12375,1150,12/07/2013,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #17-11,319773,12,1,108,1162.51,Strata,1600000,-,14815,1376,08/07/2013,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-15,319773,12,1,153,1646.89,Strata,2038000,-,13320,1237,23/05/2013,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #19-10,319773,12,1,153,1646.89,Strata,1850000,-,12092,1123,10/12/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #06-09,319773,12,1,138,1485.43,Strata,1850000,-,13406,1245,13/11/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-03,319773,12,1,106,1140.98,Strata,1410000,-,13302,1236,29/10/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #09-10,319773,12,1,153,1646.89,Strata,2060000,-,13464,1251,23/10/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #22-16,319773,12,1,138,1485.43,Strata,1950000,-,14130,1313,11/10/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #21-03,319773,12,1,106,1140.98,Strata,1480000,-,13962,1297,10/10/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #06-04,319773,12,1,66,710.42,Strata,1020000,-,15455,1436,09/10/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-05,319773,12,1,51,548.96,Strata,850000,-,16667,1548,28/09/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #27-12,319773,12,1,78,839.59,Strata,1220000,-,15641,1453,24/09/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #11-14,319773,12,1,106,1140.98,Strata,1380000,-,13019,1209,10/09/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #07-05,319773,12,1,51,548.96,Strata,805000,-,15784,1466,02/09/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #04-16,319773,12,1,138,1485.43,Strata,1800000,-,13043,1212,16/08/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-06,319773,12,1,108,1162.51,Strata,1465000,-,13565,1260,17/07/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #07-10,319773,12,1,153,1646.89,Strata,1848000,-,12078,1122,17/07/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-16,319773,12,1,138,1485.43,Strata,1785000,-,12935,1202,05/07/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-04,319773,12,1,66,710.42,Strata,1068000,-,16182,1503,02/07/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-13,319773,12,1,66,710.42,Strata,980000,-,14848,1379,21/06/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-03,319773,12,1,106,1140.98,Strata,1355000,-,12783,1188,13/06/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #30-05,319773,12,1,311,3347.6,Strata,2868000,-,9222,857,29/05/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #09-03,319773,12,1,106,1140.98,Strata,1335000,-,12594,1170,28/05/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-12,319773,12,1,51,548.96,Strata,850000,-,16667,1548,18/05/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #26-10,319773,12,1,153,1646.89,Strata,1988888,-,12999,1208,07/05/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-02,319773,12,1,153,1646.89,Strata,1900000,-,12418,1154,04/05/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #21-09,319773,12,1,138,1485.43,Strata,1680000,-,12174,1131,02/05/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #23-08,319773,12,1,138,1485.43,Strata,1700000,-,12319,1144,04/04/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #17-09,319773,12,1,138,1485.43,Strata,1660000,-,12029,1118,30/03/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #07-13,319773,12,1,66,710.42,Strata,990000,-,15000,1394,23/03/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #13-10,319773,12,1,153,1646.89,Strata,1770000,-,11569,1075,09/03/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #05-07,319773,12,1,153,1646.89,Strata,1680000,-,10980,1020,27/02/2012,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #28-08,319773,12,1,138,1485.43,Strata,1600000,-,11594,1077,13/02/2012,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #19-16,319773,12,1,138,1485.43,Strata,1770000,-,12826,1192,19/01/2012,Condominium,Freehold,2000,Resale,Private
