housing_type,project_name,address,postal_code,area_sqm,transaction_price,sale_date,latitude,longitude
private,IN SPACE,24 NEW INDUSTRIAL ROAD #02-03,536210,228,1798200,03/12/21,1.344276,103.8866522
private,THE AMORE,53 EDGEDALE PLAINS #06-03,828692,93,1000000,03/12/21,1.399016,103.9130464
private,FOREST WOODS,19 LORONG LEW LIAN #10-46,533851,84,1618000,06/12/21,1.351417,103.8772876
private,WATERTOWN,73 PUNGGOL CENTRAL #11-68,828756,54,835000,08/12/21,1.406476,103.9014217
private,IN SPACE,24 NEW INDUSTRIAL ROAD #04-04,536210,228,1739100,13/12/21,1.344276,103.8866522
private,THE RIVERVALE,1 RIVERVALE LINK #06-10,545118,127,1168000,15/12/21,1.38001,103.8987397
private,REGENTVILLE,8 HOUGANG STREET 92 #07-03,538686,91,846000,17/12/21,1.374568,103.8775236
private,LA FIESTA,60 SENGKANG SQUARE #06-24,544700,42,645000,17/12/21,1.389008,103.8948718
private,OLA,72 ANCHORVALE CRESCENT #13-07,544600,129,1699000,21/12/21,1.397707,103.8922654
private,OLA,72 ANCHORVALE CRESCENT #14-07,544600,129,1757000,28/12/21,1.397707,103.8922654
private,BARTLEY RESIDENCES,7A LORONG HOW SUN #11-46,536565,81,1250000,29/12/21,1.34288,103.8804682
private,AUSTVILLE RESIDENCES,15 SENGKANG EAST AVENUE #03-13,544806,96,1055000,29/12/21,1.381018,103.9015367
